<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
AAPL,0,20160125,093105,100.960000000,100
AAPL,0,20160125,093105,100.960000000,100
AAPL,0,20160125,093105,100.950000000,100
AAPL,0,20160125,093106,100.990000000,100
AAPL,0,20160125,093106,100.990000000,100
AAPL,0,20160125,093106,100.990000000,100
AAPL,0,20160125,093106,100.970000000,100
AAPL,0,20160125,093107,100.970000000,100
AAPL,0,20160125,093107,100.980000000,100
AAPL,0,20160125,093107,100.990000000,100
AAPL,0,20160125,093107,101.010000000,300
AAPL,0,20160125,093107,101.010000000,100
AAPL,0,20160125,093107,101.010000000,100
AAPL,0,20160125,093110,101.000000000,100
AAPL,0,20160125,093110,101.000000000,100
AAPL,0,20160125,093110,101.000000000,100
AAPL,0,20160125,093110,101.000000000,100
AAPL,0,20160125,093110,101.000000000,100
AAPL,0,20160125,093111,101.000000000,100
AAPL,0,20160125,093111,101.000000000,100
AAPL,0,20160125,093119,100.960000000,100
AAPL,0,20160125,093119,100.960000000,100
AAPL,0,20160125,093120,100.910000000,100
AAPL,0,20160125,093120,100.900000000,100
AAPL,0,20160125,093120,100.900000000,100
AAPL,0,20160125,093121,100.900000000,100
AAPL,0,20160125,093121,100.910000000,100
AAPL,0,20160125,093121,100.910000000,100
AAPL,0,20160125,093121,100.920000000,100
AAPL,0,20160125,093121,100.920000000,100
AAPL,0,20160125,093121,100.920000000,100
AAPL,0,20160125,093122,100.950000000,100
AAPL,0,20160125,093127,100.920000000,100
AAPL,0,20160125,093132,100.900000000,100
AAPL,0,20160125,093133,100.870000000,100
AAPL,0,20160125,093133,100.880000000,100
AAPL,0,20160125,093133,100.880000000,100
AAPL,0,20160125,093133,100.880000000,100
AAPL,0,20160125,093133,100.880000000,476
AAPL,0,20160125,093133,100.870000000,100
AAPL,0,20160125,093134,100.860000000,100
AAPL,0,20160125,093137,100.840000000,100
AAPL,0,20160125,093137,100.840000000,100
AAPL,0,20160125,093137,100.840000000,100
AAPL,0,20160125,093137,100.840000000,100
AAPL,0,20160125,093137,100.840000000,100
AAPL,0,20160125,093137,100.840000000,100
AAPL,0,20160125,093138,100.830000000,100
AAPL,0,20160125,093144,100.770000000,100
AAPL,0,20160125,093144,100.780000000,100
AAPL,0,20160125,093144,100.780000000,100
AAPL,0,20160125,093144,100.780000000,100
AAPL,0,20160125,093145,100.780000000,100
AAPL,0,20160125,093145,100.780000000,100
AAPL,0,20160125,093146,100.760000000,100
AAPL,0,20160125,093146,100.760000000,100
AAPL,0,20160125,093149,100.750000000,200
AAPL,0,20160125,093149,100.750000000,100
AAPL,0,20160125,093149,100.750000000,100
AAPL,0,20160125,093149,100.750000000,200
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.770000000,100
AAPL,0,20160125,093150,100.770000000,100
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.760000000,100
AAPL,0,20160125,093150,100.750000000,100
AAPL,0,20160125,093150,100.750000000,100
AAPL,0,20160125,093153,100.710000000,100
AAPL,0,20160125,093153,100.710000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093153,100.720000000,100
