<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
AAPL,0,20160126,093007,99.590000000,100
AAPL,0,20160126,093007,99.570000000,100
AAPL,0,20160126,093007,99.590000000,100
AAPL,0,20160126,093008,99.590000000,100
AAPL,0,20160126,093008,99.580000000,100
AAPL,0,20160126,093008,99.560000000,100
AAPL,0,20160126,093009,99.590000000,100
AAPL,0,20160126,093009,99.570000000,100
AAPL,0,20160126,093009,99.570000000,100
AAPL,0,20160126,093010,99.590000000,100
AAPL,0,20160126,093010,99.555000000,100
AAPL,0,20160126,093011,99.500000000,100
AAPL,0,20160126,093011,99.515000000,300
AAPL,0,20160126,093012,99.495000000,100
AAPL,0,20160126,093013,99.450000000,100
AAPL,0,20160126,093013,99.440000000,108
AAPL,0,20160126,093013,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093014,99.450000000,100
AAPL,0,20160126,093015,99.440000000,100
AAPL,0,20160126,093016,99.460000000,100
AAPL,0,20160126,093018,99.470000000,200
AAPL,0,20160126,093019,99.430000000,100
AAPL,0,20160126,093020,99.470000000,100
AAPL,0,20160126,093022,99.500000000,100
AAPL,0,20160126,093022,99.480000000,100
AAPL,0,20160126,093022,99.470000000,100
AAPL,0,20160126,093022,99.470000000,100
AAPL,0,20160126,093022,99.470000000,100
AAPL,0,20160126,093022,99.500000000,100
AAPL,0,20160126,093022,99.510000000,100
AAPL,0,20160126,093022,99.520000000,100
AAPL,0,20160126,093022,99.530000000,100
AAPL,0,20160126,093023,99.600000000,100
AAPL,0,20160126,093023,99.550000000,100
AAPL,0,20160126,093023,99.560000000,100
AAPL,0,20160126,093023,99.550000000,100
AAPL,0,20160126,093023,99.540000000,100
AAPL,0,20160126,093023,99.580000000,100
AAPL,0,20160126,093023,99.580000000,100
AAPL,0,20160126,093024,99.540000000,100
AAPL,0,20160126,093026,99.560000000,100
AAPL,0,20160126,093027,99.540000000,100
AAPL,0,20160126,093029,99.580000000,100
AAPL,0,20160126,093029,99.610000000,100
AAPL,0,20160126,093030,99.610000000,100
AAPL,0,20160126,093030,99.590000000,100
AAPL,0,20160126,093030,99.570000000,100
AAPL,0,20160126,093030,99.560000000,100
AAPL,0,20160126,093030,99.560000000,100
AAPL,0,20160126,093032,99.610000000,100
AAPL,0,20160126,093032,99.610000000,100
AAPL,0,20160126,093032,99.620000000,100
AAPL,0,20160126,093032,99.620000000,100
AAPL,0,20160126,093032,99.630000000,100
AAPL,0,20160126,093032,99.630000000,100
AAPL,0,20160126,093032,99.640000000,100
AAPL,0,20160126,093032,99.640000000,100
AAPL,0,20160126,093032,99.610000000,100
AAPL,0,20160126,093032,99.610000000,100
AAPL,0,20160126,093032,99.600000000,100
AAPL,0,20160126,093032,99.600000000,100
AAPL,0,20160126,093032,99.590000000,100
AAPL,0,20160126,093032,99.590000000,100
