<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,9000
GAZP,0,20160126,095945,131.000000000,500
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,1500
GAZP,0,20160126,095945,131.000000000,7250
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,140
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,300
GAZP,0,20160126,095945,131.000000000,1910
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,640
GAZP,0,20160126,095945,131.000000000,10000
GAZP,0,20160126,095945,131.000000000,880
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,2000
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,7880
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,160
GAZP,0,20160126,095945,131.000000000,30
GAZP,0,20160126,095945,131.000000000,2000
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,150
GAZP,0,20160126,095945,131.000000000,600
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,200
GAZP,0,20160126,100000,131.000000000,90
GAZP,0,20160126,100000,131.000000000,10
GAZP,0,20160126,100000,131.000000000,200
GAZP,0,20160126,100000,131.000000000,70
GAZP,0,20160126,100000,130.990000000,10
GAZP,0,20160126,100000,130.990000000,10
GAZP,0,20160126,100000,130.990000000,20
GAZP,0,20160126,100000,131.000000000,700
GAZP,0,20160126,100000,131.000000000,100
GAZP,0,20160126,100000,131.000000000,100
GAZP,0,20160126,100000,131.000000000,100
GAZP,0,20160126,100000,131.000000000,2500
GAZP,0,20160126,100000,130.990000000,10
GAZP,0,20160126,100000,131.000000000,2500
GAZP,0,20160126,100000,131.000000000,4600
GAZP,0,20160126,100000,131.000000000,4900
GAZP,0,20160126,100000,131.000000000,110
GAZP,0,20160126,100000,131.000000000,2000
GAZP,0,20160126,100000,130.990000000,170
GAZP,0,20160126,100000,130.990000000,30
GAZP,0,20160126,100000,131.000000000,400
GAZP,0,20160126,100000,131.000000000,110
GAZP,0,20160126,100000,131.000000000,60
GAZP,0,20160126,100001,130.990000000,170
GAZP,0,20160126,100001,130.990000000,200
GAZP,0,20160126,100001,131.000000000,400
GAZP,0,20160126,100001,131.000000000,60
GAZP,0,20160126,100001,131.000000000,60
GAZP,0,20160126,100001,131.000000000,1200
GAZP,0,20160126,100001,131.000000000,500
GAZP,0,20160126,100001,131.000000000,600
GAZP,0,20160126,100001,131.000000000,300
GAZP,0,20160126,100001,131.000000000,2200
GAZP,0,20160126,100001,130.970000000,60
GAZP,0,20160126,100001,130.990000000,100
GAZP,0,20160126,100001,130.990000000,640
GAZP,0,20160126,100001,131.000000000,60
GAZP,0,20160126,100001,131.000000000,100
GAZP,0,20160126,100001,131.000000000,200
GAZP,0,20160126,100001,131.000000000,100
GAZP,0,20160126,100001,131.000000000,700
GAZP,0,20160126,100001,131.000000000,100
GAZP,0,20160126,100001,131.000000000,1700
GAZP,0,20160126,100001,131.000000000,3600
GAZP,0,20160126,100001,131.000000000,6500
GAZP,0,20160126,100001,131.000000000,160
GAZP,0,20160126,100001,131.000000000,1900
GAZP,0,20160126,100001,131.000000000,4970
GAZP,0,20160126,100001,131.000000000,100
GAZP,0,20160126,100001,131.000000000,1230
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,130.930000000,20
GAZP,0,20160126,100001,130.930000000,10
GAZP,0,20160126,100001,131.000000000,80
GAZP,0,20160126,100001,131.000000000,80
GAZP,0,20160126,100001,131.000000000,100
GAZP,0,20160126,100001,131.000000000,100
GAZP,0,20160126,100001,131.000000000,700
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,130.940000000,100
GAZP,0,20160126,100001,130.920000000,50
GAZP,0,20160126,100001,131.000000000,40
GAZP,0,20160126,100001,131.000000000,640
GAZP,0,20160126,100001,131.000000000,560
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,700
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,700
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,1700
GAZP,0,20160126,100001,131.000000000,1210
GAZP,0,20160126,100001,131.000000000,1150
GAZP,0,20160126,100001,131.000000000,840
