<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
MMM,0,20160126,094002,143.440000000,100
MMM,0,20160126,094004,143.520000000,100
MMM,0,20160126,094006,143.410000000,100
MMM,0,20160126,094018,143.390000000,100
MMM,0,20160126,094031,143.400000000,100
MMM,0,20160126,094031,143.390000000,100
MMM,0,20160126,094031,143.340000000,100
MMM,0,20160126,094037,143.420000000,200
MMM,0,20160126,094042,143.390000000,100
MMM,0,20160126,094043,143.430000000,100
MMM,0,20160126,094047,143.490000000,200
MMM,0,20160126,094048,143.550000000,100
MMM,0,20160126,094050,143.580000000,100
MMM,0,20160126,094056,143.600000000,300
MMM,0,20160126,094056,143.550000000,100
MMM,0,20160126,094057,143.590000000,100
MMM,0,20160126,094057,143.600000000,100
MMM,0,20160126,094057,143.600000000,200
MMM,0,20160126,094058,143.600000000,100
MMM,0,20160126,094058,143.600000000,200
MMM,0,20160126,094100,143.520000000,100
MMM,0,20160126,094106,143.300000000,100
MMM,0,20160126,094120,143.220000000,100
MMM,0,20160126,094120,143.200000000,100
MMM,0,20160126,094120,143.170000000,100
MMM,0,20160126,094130,143.220000000,100
MMM,0,20160126,094213,143.250000000,100
MMM,0,20160126,094234,143.220000000,100
MMM,0,20160126,094250,143.190000000,100
MMM,0,20160126,094306,142.920000000,200
MMM,0,20160126,094306,142.900000000,100
MMM,0,20160126,094306,142.900000000,100
MMM,0,20160126,094320,143.070000000,100
MMM,0,20160126,094327,143.040000000,100
MMM,0,20160126,094327,143.050000000,100
MMM,0,20160126,094327,143.060000000,200
MMM,0,20160126,094329,143.060000000,100
MMM,0,20160126,094329,143.070000000,100
MMM,0,20160126,094400,143.060000000,100
MMM,0,20160126,094436,143.250000000,100
MMM,0,20160126,094437,143.180000000,300
MMM,0,20160126,094452,143.120000000,100
MMM,0,20160126,094452,143.070000000,100
MMM,0,20160126,094452,143.060000000,100
MMM,0,20160126,094452,143.050000000,100
MMM,0,20160126,094529,143.150000000,100
MMM,0,20160126,094544,143.140000000,100
MMM,0,20160126,094605,143.210000000,100
MMM,0,20160126,094617,143.160000000,100
MMM,0,20160126,094657,143.120000000,100
MMM,0,20160126,094657,143.140000000,100
MMM,0,20160126,094657,143.150000000,100
MMM,0,20160126,094657,143.150000000,200
MMM,0,20160126,094733,143.300000000,100
MMM,0,20160126,094901,143.120000000,100
MMM,0,20160126,094901,143.110000000,200
MMM,0,20160126,094901,143.110000000,166
MMM,0,20160126,094901,143.110000000,100
MMM,0,20160126,094915,143.150000000,100
MMM,0,20160126,094915,143.150000000,100
MMM,0,20160126,094915,143.200000000,100
MMM,0,20160126,094916,143.220000000,100
MMM,0,20160126,094917,143.210000000,100
MMM,0,20160126,094922,143.250000000,100
MMM,0,20160126,095006,143.330000000,100
MMM,0,20160126,095010,143.510000000,100
MMM,0,20160126,095011,143.570000000,100
MMM,0,20160126,095017,143.590000000,100
MMM,0,20160126,095030,143.620000000,500
MMM,0,20160126,095049,143.850000000,100
MMM,0,20160126,095049,143.810000000,100
MMM,0,20160126,095049,143.800000000,100
MMM,0,20160126,095049,143.790000000,150
MMM,0,20160126,095051,143.800000000,100
MMM,0,20160126,095051,143.790000000,100
MMM,0,20160126,095051,143.790000000,100
MMM,0,20160126,095051,143.790000000,150
